"","lon","lat"
"617",-68.5,45.5
"618",-68.25,45.5
"619",-68,45.5
"620",-67.75,45.5
"621",-67.5,45.5
"622",-67.25,45.5
"623",-67,45.5
"624",-66.75,45.5
"625",-66.5,45.5
"626",-66.25,45.5
"627",-66,45.5
"628",-80,45.25
"629",-79.75,45.25
"630",-79.5,45.25
"631",-79.25,45.25
"632",-79,45.25
"633",-78.75,45.25
"634",-78.5,45.25
"635",-78.25,45.25
"636",-78,45.25
"637",-77.75,45.25
"638",-77.5,45.25
"639",-77.25,45.25
"640",-77,45.25
"641",-76.75,45.25
"642",-76.5,45.25
"643",-76.25,45.25
"644",-76,45.25
"645",-75.75,45.25
"646",-75.5,45.25
"647",-75.25,45.25
"648",-75,45.25
"649",-74.75,45.25
"650",-74.5,45.25
"651",-74.25,45.25
"652",-74,45.25
"653",-73.75,45.25
"654",-73.5,45.25
"655",-73.25,45.25
"656",-73,45.25
"657",-72.75,45.25
"658",-72.5,45.25
"659",-72.25,45.25
"660",-72,45.25
"661",-71.75,45.25
"662",-71.5,45.25
"663",-71.25,45.25
"664",-71,45.25
"665",-70.75,45.25
"666",-70.5,45.25
"667",-70.25,45.25
"668",-70,45.25
"669",-69.75,45.25
"670",-69.5,45.25
"671",-69.25,45.25
"672",-69,45.25
"673",-68.75,45.25
"674",-68.5,45.25
"675",-68.25,45.25
"676",-68,45.25
"677",-67.75,45.25
"678",-67.5,45.25
"679",-67.25,45.25
"680",-67,45.25
"681",-66.75,45.25
"682",-66.5,45.25
"683",-66.25,45.25
"684",-66,45.25
"685",-80,45
"686",-79.75,45
"687",-79.5,45
"688",-79.25,45
"689",-79,45
"690",-78.75,45
"691",-78.5,45
"692",-78.25,45
"693",-78,45
"694",-77.75,45
"695",-77.5,45
"696",-77.25,45
"697",-77,45
"698",-76.75,45
"699",-76.5,45
"700",-76.25,45
"701",-76,45
"702",-75.75,45
"703",-75.5,45
"704",-75.25,45
"705",-75,45
"706",-74.75,45
"707",-74.5,45
"708",-74.25,45
"709",-74,45
"710",-73.75,45
"711",-73.5,45
"712",-73.25,45
"713",-73,45
"714",-72.75,45
"715",-72.5,45
"716",-72.25,45
"717",-72,45
"718",-71.75,45
"719",-71.5,45
"720",-71.25,45
"721",-71,45
"722",-70.75,45
"723",-70.5,45
"724",-70.25,45
"725",-70,45
"726",-69.75,45
"727",-69.5,45
"728",-69.25,45
"729",-69,45
"730",-68.75,45
"731",-68.5,45
"732",-68.25,45
"733",-68,45
"734",-67.75,45
"735",-67.5,45
"736",-67.25,45
"737",-67,45
"738",-66.75,45
"739",-66.5,45
"740",-66.25,45
"741",-66,45
"742",-80,44.75
"743",-79.75,44.75
"744",-79.5,44.75
"745",-79.25,44.75
"746",-79,44.75
"747",-78.75,44.75
"748",-78.5,44.75
"749",-78.25,44.75
"750",-78,44.75
"751",-77.75,44.75
"752",-77.5,44.75
"753",-77.25,44.75
"754",-77,44.75
"755",-76.75,44.75
"756",-76.5,44.75
"757",-76.25,44.75
"758",-76,44.75
"759",-75.75,44.75
"760",-75.5,44.75
"761",-75.25,44.75
"762",-75,44.75
"763",-74.75,44.75
"764",-74.5,44.75
"765",-74.25,44.75
"766",-74,44.75
"767",-73.75,44.75
"768",-73.5,44.75
"769",-73.25,44.75
"770",-73,44.75
"771",-72.75,44.75
"772",-72.5,44.75
"773",-72.25,44.75
"774",-72,44.75
"775",-71.75,44.75
"776",-71.5,44.75
"777",-71.25,44.75
"778",-71,44.75
"779",-70.75,44.75
"780",-70.5,44.75
"781",-70.25,44.75
"782",-70,44.75
"783",-69.75,44.75
"784",-69.5,44.75
"785",-69.25,44.75
"786",-69,44.75
"787",-68.75,44.75
"788",-68.5,44.75
"789",-68.25,44.75
"790",-68,44.75
"791",-67.75,44.75
"792",-67.5,44.75
"793",-67.25,44.75
"794",-67,44.75
"795",-66.75,44.75
"796",-66.5,44.75
"797",-66.25,44.75
"798",-66,44.75
"799",-80,44.5
"800",-79.75,44.5
"801",-79.5,44.5
"802",-79.25,44.5
"803",-79,44.5
"804",-78.75,44.5
"805",-78.5,44.5
"806",-78.25,44.5
"807",-78,44.5
"808",-77.75,44.5
"809",-77.5,44.5
"810",-77.25,44.5
"811",-77,44.5
"812",-76.75,44.5
"813",-76.5,44.5
"814",-76.25,44.5
"815",-76,44.5
"816",-75.75,44.5
"817",-75.5,44.5
"818",-75.25,44.5
"819",-75,44.5
"820",-74.75,44.5
"821",-74.5,44.5
"822",-74.25,44.5
"823",-74,44.5
"824",-73.75,44.5
"825",-73.5,44.5
"826",-73.25,44.5
"827",-73,44.5
"828",-72.75,44.5
"829",-72.5,44.5
"830",-72.25,44.5
"831",-72,44.5
"832",-71.75,44.5
"833",-71.5,44.5
"834",-71.25,44.5
"835",-71,44.5
"836",-70.75,44.5
"837",-70.5,44.5
"838",-70.25,44.5
"839",-70,44.5
"840",-69.75,44.5
"841",-69.5,44.5
"842",-69.25,44.5
"843",-69,44.5
"844",-68.75,44.5
"845",-68.5,44.5
"846",-68.25,44.5
"847",-68,44.5
"848",-67.75,44.5
"849",-67.5,44.5
"850",-67.25,44.5
"851",-67,44.5
"852",-66.75,44.5
"853",-66.5,44.5
"854",-66.25,44.5
"855",-66,44.5
"856",-80,44.25
"857",-79.75,44.25
"858",-79.5,44.25
"859",-79.25,44.25
"860",-79,44.25
"861",-78.75,44.25
"862",-78.5,44.25
"863",-78.25,44.25
"864",-78,44.25
"865",-77.75,44.25
"866",-77.5,44.25
"867",-77.25,44.25
"868",-77,44.25
"869",-76.75,44.25
"870",-76.5,44.25
"871",-76.25,44.25
"872",-76,44.25
"873",-75.75,44.25
"874",-75.5,44.25
"875",-75.25,44.25
"876",-75,44.25
"877",-74.75,44.25
"878",-74.5,44.25
"879",-74.25,44.25
"880",-74,44.25
"881",-73.75,44.25
"882",-73.5,44.25
"883",-73.25,44.25
"884",-73,44.25
"885",-72.75,44.25
"886",-72.5,44.25
"887",-72.25,44.25
"888",-72,44.25
"889",-71.75,44.25
"890",-71.5,44.25
"891",-71.25,44.25
"892",-71,44.25
"893",-70.75,44.25
"894",-70.5,44.25
"895",-70.25,44.25
"896",-70,44.25
"897",-69.75,44.25
"898",-69.5,44.25
"899",-69.25,44.25
"900",-69,44.25
"901",-68.75,44.25
"902",-68.5,44.25
"903",-68.25,44.25
"904",-68,44.25
"905",-67.75,44.25
"906",-67.5,44.25
"907",-67.25,44.25
"908",-67,44.25
"909",-66.75,44.25
"910",-66.5,44.25
"911",-66.25,44.25
"912",-66,44.25
"913",-80,44
"914",-79.75,44
"915",-79.5,44
"916",-79.25,44
"917",-79,44
"918",-78.75,44
"919",-78.5,44
"920",-78.25,44
"921",-78,44
"922",-77.75,44
"923",-77.5,44
"924",-77.25,44
"925",-77,44
"926",-76.75,44
"927",-76.5,44
"928",-76.25,44
"929",-76,44
"930",-75.75,44
"931",-75.5,44
"932",-75.25,44
"933",-75,44
"934",-74.75,44
"935",-74.5,44
"936",-74.25,44
"937",-74,44
"938",-73.75,44
"939",-73.5,44
"940",-73.25,44
"941",-73,44
"942",-72.75,44
"943",-72.5,44
"944",-72.25,44
"945",-72,44
"946",-71.75,44
"947",-71.5,44
"948",-71.25,44
"949",-71,44
"950",-70.75,44
"951",-70.5,44
"952",-70.25,44
"953",-70,44
"954",-69.75,44
"955",-69.5,44
"956",-69.25,44
"957",-69,44
"958",-68.75,44
"959",-68.5,44
"960",-68.25,44
"961",-68,44
"962",-67.75,44
"963",-67.5,44
"964",-67.25,44
"965",-67,44
"966",-66.75,44
"967",-66.5,44
"968",-66.25,44
"969",-66,44
"970",-80,43.75
"971",-79.75,43.75
"972",-79.5,43.75
"973",-79.25,43.75
"974",-79,43.75
"975",-78.75,43.75
"976",-78.5,43.75
"977",-78.25,43.75
"978",-78,43.75
"979",-77.75,43.75
"980",-77.5,43.75
"981",-77.25,43.75
"982",-77,43.75
"983",-76.75,43.75
"984",-76.5,43.75
"985",-76.25,43.75
"986",-76,43.75
"987",-75.75,43.75
"988",-75.5,43.75
"989",-75.25,43.75
"990",-75,43.75
"991",-74.75,43.75
"992",-74.5,43.75
"993",-74.25,43.75
"994",-74,43.75
"995",-73.75,43.75
"996",-73.5,43.75
"997",-73.25,43.75
"998",-73,43.75
"999",-72.75,43.75
"1000",-72.5,43.75
"1001",-72.25,43.75
"1002",-72,43.75
"1003",-71.75,43.75
"1004",-71.5,43.75
"1005",-71.25,43.75
"1006",-71,43.75
"1007",-70.75,43.75
"1008",-70.5,43.75
"1009",-70.25,43.75
"1010",-70,43.75
"1011",-69.75,43.75
"1012",-69.5,43.75
"1013",-69.25,43.75
"1014",-69,43.75
"1015",-68.75,43.75
"1016",-68.5,43.75
"1017",-68.25,43.75
"1018",-68,43.75
"1019",-67.75,43.75
"1020",-67.5,43.75
"1021",-67.25,43.75
"1022",-67,43.75
"1023",-66.75,43.75
"1024",-66.5,43.75
"1025",-66.25,43.75
"1026",-66,43.75
"1027",-80,43.5
"1028",-79.75,43.5
"1029",-79.5,43.5
"1030",-79.25,43.5
"1031",-79,43.5
"1032",-78.75,43.5
"1033",-78.5,43.5
"1034",-78.25,43.5
"1035",-78,43.5
"1036",-77.75,43.5
"1037",-77.5,43.5
"1038",-77.25,43.5
"1039",-77,43.5
"1040",-76.75,43.5
"1041",-76.5,43.5
"1042",-76.25,43.5
"1043",-76,43.5
"1044",-75.75,43.5
"1045",-75.5,43.5
"1046",-75.25,43.5
"1047",-75,43.5
"1048",-74.75,43.5
"1049",-74.5,43.5
"1050",-74.25,43.5
"1051",-74,43.5
"1052",-73.75,43.5
"1053",-73.5,43.5
"1054",-73.25,43.5
"1055",-73,43.5
"1056",-72.75,43.5
"1057",-72.5,43.5
"1058",-72.25,43.5
"1059",-72,43.5
"1060",-71.75,43.5
"1061",-71.5,43.5
"1062",-71.25,43.5
"1063",-71,43.5
"1064",-70.75,43.5
"1065",-70.5,43.5
"1066",-70.25,43.5
"1067",-70,43.5
"1068",-69.75,43.5
"1069",-69.5,43.5
"1070",-69.25,43.5
"1071",-69,43.5
"1072",-68.75,43.5
"1073",-68.5,43.5
"1074",-68.25,43.5
"1075",-68,43.5
"1076",-67.75,43.5
"1077",-67.5,43.5
"1078",-67.25,43.5
"1079",-67,43.5
"1080",-66.75,43.5
"1081",-66.5,43.5
"1082",-66.25,43.5
"1083",-66,43.5
"1084",-80,43.25
"1085",-79.75,43.25
"1086",-79.5,43.25
"1087",-79.25,43.25
"1088",-79,43.25
"1089",-78.75,43.25
"1090",-78.5,43.25
"1091",-78.25,43.25
"1092",-78,43.25
"1093",-77.75,43.25
"1094",-77.5,43.25
"1095",-77.25,43.25
"1096",-77,43.25
"1097",-76.75,43.25
"1098",-76.5,43.25
"1099",-76.25,43.25
"1100",-76,43.25
"1101",-75.75,43.25
"1102",-75.5,43.25
"1103",-75.25,43.25
"1104",-75,43.25
"1105",-74.75,43.25
"1106",-74.5,43.25
"1107",-74.25,43.25
"1108",-74,43.25
"1109",-73.75,43.25
"1110",-73.5,43.25
"1111",-73.25,43.25
"1112",-73,43.25
"1113",-72.75,43.25
"1114",-72.5,43.25
"1115",-72.25,43.25
"1116",-72,43.25
"1117",-71.75,43.25
"1118",-71.5,43.25
"1119",-71.25,43.25
"1120",-71,43.25
"1121",-70.75,43.25
"1122",-70.5,43.25
"1123",-70.25,43.25
"1124",-70,43.25
"1125",-69.75,43.25
"1126",-69.5,43.25
"1127",-69.25,43.25
"1128",-69,43.25
"1129",-68.75,43.25
"1130",-68.5,43.25
"1131",-68.25,43.25
"1132",-68,43.25
"1133",-67.75,43.25
"1134",-67.5,43.25
"1135",-67.25,43.25
"1136",-67,43.25
"1137",-66.75,43.25
"1138",-66.5,43.25
"1139",-66.25,43.25
"1140",-66,43.25
"1141",-80,43
"1142",-79.75,43
"1143",-79.5,43
"1144",-79.25,43
"1145",-79,43
"1146",-78.75,43
"1147",-78.5,43
"1148",-78.25,43
"1149",-78,43
"1150",-77.75,43
"1151",-77.5,43
"1152",-77.25,43
"1153",-77,43
"1154",-76.75,43
"1155",-76.5,43
"1156",-76.25,43
"1157",-76,43
"1158",-75.75,43
"1159",-75.5,43
"1160",-75.25,43
"1161",-75,43
"1162",-74.75,43
"1163",-74.5,43
"1164",-74.25,43
"1165",-74,43
"1166",-73.75,43
"1167",-73.5,43
"1168",-73.25,43
"1169",-73,43
"1170",-72.75,43
"1171",-72.5,43
"1172",-72.25,43
"1173",-72,43
"1174",-71.75,43
"1175",-71.5,43
"1176",-71.25,43
"1177",-71,43
"1178",-70.75,43
"1179",-70.5,43
"1180",-70.25,43
"1181",-70,43
"1182",-69.75,43
"1183",-69.5,43
"1184",-69.25,43
"1185",-69,43
"1186",-68.75,43
"1187",-68.5,43
"1188",-68.25,43
"1189",-68,43
"1190",-67.75,43
"1191",-67.5,43
"1192",-67.25,43
"1193",-67,43
"1194",-66.75,43
"1195",-66.5,43
"1196",-66.25,43
"1197",-66,43
"1198",-80,42.75
"1199",-79.75,42.75
"1200",-79.5,42.75
"1201",-79.25,42.75
"1202",-79,42.75
"1203",-78.75,42.75
"1204",-78.5,42.75
"1205",-78.25,42.75
"1206",-78,42.75
"1207",-77.75,42.75
"1208",-77.5,42.75
"1209",-77.25,42.75
"1210",-77,42.75
"1211",-76.75,42.75
"1212",-76.5,42.75
"1213",-76.25,42.75
"1214",-76,42.75
"1215",-75.75,42.75
"1216",-75.5,42.75
"1217",-75.25,42.75
"1218",-75,42.75
"1219",-74.75,42.75
"1220",-74.5,42.75
"1221",-74.25,42.75
"1222",-74,42.75
"1223",-73.75,42.75
"1224",-73.5,42.75
"1225",-73.25,42.75
"1226",-73,42.75
"1227",-72.75,42.75
"1228",-72.5,42.75
"1229",-72.25,42.75
"1230",-72,42.75
"1231",-71.75,42.75
"1232",-71.5,42.75
"1233",-71.25,42.75
"1234",-71,42.75
"1235",-70.75,42.75
"1236",-70.5,42.75
"1237",-70.25,42.75
"1238",-70,42.75
"1239",-69.75,42.75
"1240",-69.5,42.75
"1241",-69.25,42.75
"1242",-69,42.75
"1243",-68.75,42.75
"1244",-68.5,42.75
"1245",-68.25,42.75
"1246",-68,42.75
"1247",-67.75,42.75
"1248",-67.5,42.75
"1249",-67.25,42.75
"1250",-67,42.75
"1251",-66.75,42.75
"1252",-66.5,42.75
"1253",-66.25,42.75
"1254",-66,42.75
